ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck5yzmr1h9cgi07764h1mb6ay,ck5yzhgvobj7j0bo0hzd220hv,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2Fe9921889-7fa8-460e-23e0-361599452857-214.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=wa5P2CJLXOb3LbUrLkfHg8eHXo8,"{""snake"":[{""geometry"":[{""x"":153,""y"":80},{""x"":251,""y"":80},{""x"":251,""y"":166},{""x"":153,""y"":166}]}],""llama"":[{""geometry"":[{""x"":64,""y"":94},{""x"":103,""y"":94},{""x"":103,""y"":135},{""x"":64,""y"":135}]}],""background"":[{""geometry"":[{""x"":22,""y"":15},{""x"":91,""y"":15},{""x"":91,""y"":91},{""x"":22,""y"":91}]},{""geometry"":[{""x"":36,""y"":179},{""x"":103,""y"":179},{""x"":103,""y"":235},{""x"":36,""y"":235}]}]}",engineerzheyu@gmail.com,RVSS,1580282892000,1580282892000,27.013,214.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yzmr1h9cgi07764h1mb6ay
ck5yzmvm61d3q0833oj2ufjlb,ck5yzhgvqbjb30bo0cyfx600q,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2F224a572a-3947-99c0-111e-7e09caf74a87-246.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=pSbnSTEGDNhJvgiJFxsrD2tQdRE,"{""elephant"":[{""geometry"":[{""x"":81,""y"":63},{""x"":232,""y"":63},{""x"":232,""y"":169},{""x"":81,""y"":169}]}]}",engineerzheyu@gmail.com,RVSS,1580282898000,1580282898000,5.428,246.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yzmvm61d3q0833oj2ufjlb
ck5yzn6px9cmi07765vynmz8y,ck5yzhgvsbjen0bo0104p9ets,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2F40c2609b-00ab-3a9b-7232-9531ddd358dd-278.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=PWPCdeBZAtc9tLrGUrCd1_bCDGs,"{""background"":[{""geometry"":[{""x"":119,""y"":144},{""x"":202,""y"":144},{""x"":202,""y"":215},{""x"":119,""y"":215}]},{""geometry"":[{""x"":39,""y"":64},{""x"":107,""y"":64},{""x"":107,""y"":132},{""x"":39,""y"":132}]}]}",engineerzheyu@gmail.com,RVSS,1580282912000,1580282912000,13.712,278.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yzn6px9cmi07765vynmz8y
ck5yznb7s9iia0890tw0tusqg,ck5yzhgvubji70bo020yzaad4,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2Fe1aa7685-c09c-38b0-fc66-17e2b9e2980a-310.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=x1H_V8IbF0WBazY63ODTVx8aGO4,"{""llama"":[{""geometry"":[{""x"":118,""y"":99},{""x"":196,""y"":99},{""x"":196,""y"":221},{""x"":118,""y"":221}]}]}",engineerzheyu@gmail.com,RVSS,1580282918000,1580282918000,5.249,310.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yznb7s9iia0890tw0tusqg
ck5yzngc79ijt0890nwuapxvk,ck5yzhgv5bim70bo0f2gw5t24,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2F031a84ba-c9fe-8e04-199d-c4ec78792556-20.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=eJOJfC_RAcsbQJ9v92ZIU07r8Co,"{""snake"":[{""geometry"":[{""x"":77,""y"":63},{""x"":186,""y"":63},{""x"":186,""y"":192},{""x"":77,""y"":192}]}]}",engineerzheyu@gmail.com,RVSS,1580282924000,1580282924000,6.139,20.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yzngc79ijt0890nwuapxvk
ck5yznorl9ctn0776hirsyiwa,ck5yzhgv8bipr0bo01mo0enof,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2F7e954af6-b944-6265-5518-85761b4531e9-52.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=VJxvPXU-pCA-59dNtnuEool-EbI,"{""snake"":[{""geometry"":[{""x"":82,""y"":55},{""x"":146,""y"":55},{""x"":146,""y"":130},{""x"":82,""y"":130}]}]}",engineerzheyu@gmail.com,RVSS,1580282935000,1580282935000,8.994,52.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yznorl9ctn0776hirsyiwa
ck5yznwxp9kvt0700xfyh5mj0,ck5yzhgvabitb0bo0hw693vo6,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2F6b64fc3f-71d5-2054-ae91-7c09798061bb-84.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=1ay2rhC1O_mVyN68X9yY7CPuvv8,"{""snake"":[{""geometry"":[{""x"":64,""y"":131},{""x"":141,""y"":131},{""x"":141,""y"":216},{""x"":64,""y"":216}]}],""background"":[{""geometry"":[{""x"":173,""y"":146},{""x"":277,""y"":146},{""x"":277,""y"":236},{""x"":173,""y"":236}]}]}",engineerzheyu@gmail.com,RVSS,1580282946000,1580282946000,8.254,84.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yznwxp9kvt0700xfyh5mj0
ck5yzo5x91dk00833ehz7j098,ck5yzhgvfbiwv0bo010e322k8,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2F5ec786ea-895b-7300-24d9-9974272bddae-116.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=rWVRfZv4l7-gy27SlL83KlzVieI,"{""snake"":[{""geometry"":[{""x"":22,""y"":78},{""x"":84,""y"":78},{""x"":84,""y"":154},{""x"":22,""y"":154}]}],""background"":[{""geometry"":[{""x"":212,""y"":72},{""x"":273,""y"":72},{""x"":273,""y"":137},{""x"":212,""y"":137}]},{""geometry"":[{""x"":125,""y"":39},{""x"":188,""y"":39},{""x"":188,""y"":111},{""x"":125,""y"":111}]}]}",engineerzheyu@gmail.com,RVSS,1580282958000,1580282958000,11.146,116.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yzo5x91dk00833ehz7j098
ck5yzoap89d1y07766cgl92v8,ck5yzhgvhbj0f0bo01pi281dr,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2F5c32331b-c465-3e82-a43a-636297dedebc-149.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=V7BNbgn4kwGa-elXt3PVpq5ss8M,"{""llama"":[{""geometry"":[{""x"":146,""y"":142},{""x"":199,""y"":142},{""x"":199,""y"":220},{""x"":146,""y"":220}]}]}",engineerzheyu@gmail.com,RVSS,1580282964000,1580282964000,5.706,149.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yzoap89d1y07766cgl92v8
ck5yzom079j0108903op4b3bn,ck5yzhgvkbj3z0bo00hcu5q6p,https://storage.labelbox.com/ck5d7ysbcnisd09526c5wgvze%2F89a3dc0c-55fd-804d-8b05-957e36b3990e-181.png?Expires=1581495142511&KeyName=labelbox-assets-key-1&Signature=RAQ5Kcxc1RyH4iy1mzQUJ-CB50A,"{""llama"":[{""geometry"":[{""x"":140,""y"":101},{""x"":192,""y"":101},{""x"":192,""y"":188},{""x"":140,""y"":188}]}],""background"":[{""geometry"":[{""x"":52,""y"":19},{""x"":101,""y"":19},{""x"":101,""y"":70},{""x"":52,""y"":70}]},{""geometry"":[{""x"":238,""y"":60},{""x"":320,""y"":60},{""x"":320,""y"":147},{""x"":238,""y"":147}]}]}",engineerzheyu@gmail.com,RVSS,1580282978000,1580282978000,14.092,181.png,,,,,dset02,[],https://image-segmentation-v4.labelbox.com?project=ck5x7q9svghzx0890o69wodeq&label=ck5yzom079j0108903op4b3bn
